product,contract_role,symbol_or_contract,period,year,status,issue_type,expected_start,expected_end,target_reason,evidence_source,provider,data_role,quality_status,start_date,end_date,row_count,db_market_data_file_id,standard_path,recommended_next_task,triage_result,observed_source_interval_values,source_interval_rows_scanned,root_cause_bucket
ic,dominant_main,ic.MAIN,5m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41044.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,5m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41044.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,5m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41044.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,5m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41044.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41045.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41045.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41045.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41045.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,30m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41046.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,30m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41046.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,30m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41046.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,30m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41046.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,60m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41047.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,60m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41047.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,60m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41047.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ic,dominant_main,ic.MAIN,60m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41047.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ic/contract=ic.MAIN/ic_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,1d,2023,covered_warning,source_interval_unverified,2023-01-01,2023-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56472.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,1d,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56472.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,1d,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56472.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,1d,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56472.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,5m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41050.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,5m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41050.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,5m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41050.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,5m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41050.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41051.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41051.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41051.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41051.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,30m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41052.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,30m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41052.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,30m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41052.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,30m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41052.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,60m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41053.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,60m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41053.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,60m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41053.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
if,dominant_main,if.MAIN,60m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41053.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=if/contract=if.MAIN/if_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,1d,2023,covered_warning,source_interval_unverified,2023-01-01,2023-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56474.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,1d,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56474.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,1d,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56474.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,1d,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2020_plus;dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest,processed_summary",rqdata,primary,passed,2020-01-02,2026-07-10,1579,56474.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=1d/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_1d_20200102_20260711_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,5m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41056.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,5m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41056.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,5m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41056.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,5m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,40704,41056.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=5m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_5m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,15m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41057.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,15m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41057.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,15m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41057.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,15m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,13568,41057.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=15m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_15m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,30m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41058.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,30m,2024,covered_warning,source_interval_unverified,2024-01-01,2024-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41058.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,30m,2025,covered_warning,source_interval_unverified,2025-01-01,2025-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41058.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,30m,2026,covered_warning,source_interval_unverified,2026-01-01,2026-07-10,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,6784,41058.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=30m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_30m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
ih,dominant_main,ih.MAIN,60m,2023,covered_warning,source_interval_unverified,2023-01-03,2023-12-31,dominant_2023_plus_derived_from_1m,"db_market_data_file,manifest",rqdata,primary,passed,2023-01-03,2026-07-07,3392,41059.0,/Volumes/扩展盘/guiyi-quant-workstation/data/parquet/canonical/bars/provider=rqdata/period=60m/exchange=CFFEX/symbol=ih/contract=ih.MAIN/ih_MAIN_60m_20230103_20260707_v2.parquet,target_coverage_gap_triage,source_interval_column_missing,,,derived_asset_metadata_column_missing
