product,year,dataset,status,row_count,audit_status,issue_class,detail
pk,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pk,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pk,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pk,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pk,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pk,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pl,2020,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pl,2020,contract_universe,not_applicable,,not_applicable,not_applicable,
pl,2020,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pl,2020,trading_parameters,not_applicable,,not_applicable,not_applicable,
pl,2020,trading_calendar,not_applicable,,not_applicable,not_applicable,
pl,2020,trading_sessions,not_applicable,,not_applicable,not_applicable,
pl,2021,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pl,2021,contract_universe,not_applicable,,not_applicable,not_applicable,
pl,2021,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pl,2021,trading_parameters,not_applicable,,not_applicable,not_applicable,
pl,2021,trading_calendar,not_applicable,,not_applicable,not_applicable,
pl,2021,trading_sessions,not_applicable,,not_applicable,not_applicable,
pl,2022,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pl,2022,contract_universe,not_applicable,,not_applicable,not_applicable,
pl,2022,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pl,2022,trading_parameters,not_applicable,,not_applicable,not_applicable,
pl,2022,trading_calendar,not_applicable,,not_applicable,not_applicable,
pl,2022,trading_sessions,not_applicable,,not_applicable,not_applicable,
pl,2023,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pl,2023,contract_universe,not_applicable,,not_applicable,not_applicable,
pl,2023,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pl,2023,trading_parameters,not_applicable,,not_applicable,not_applicable,
pl,2023,trading_calendar,not_applicable,,not_applicable,not_applicable,
pl,2023,trading_sessions,not_applicable,,not_applicable,not_applicable,
pl,2024,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pl,2024,contract_universe,not_applicable,,not_applicable,not_applicable,
pl,2024,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pl,2024,trading_parameters,not_applicable,,not_applicable,not_applicable,
pl,2024,trading_calendar,not_applicable,,not_applicable,not_applicable,
pl,2024,trading_sessions,not_applicable,,not_applicable,not_applicable,
pl,2025,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pl,2025,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pl,2025,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pl,2025,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pl,2025,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pl,2025,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pl,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pl,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pl,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pl,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pl,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pl,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2020,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2020,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2020,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2020,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2020,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2020,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2021,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2021,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2021,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2021,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2021,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2021,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2022,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2022,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2022,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2022,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2022,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2022,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2023,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2023,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2023,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2023,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2023,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2023,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2024,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2024,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2024,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2024,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2024,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2024,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2025,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2025,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2025,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2025,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2025,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2025,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pm,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pm,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pm,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pm,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pm,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pm,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2020,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2020,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2020,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2020,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2020,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2020,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2021,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2021,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2021,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2021,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2021,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2021,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2022,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2022,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2022,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2022,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2022,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2022,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2023,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2023,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2023,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2023,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2023,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2023,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2024,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2024,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2024,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2024,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2024,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2024,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2025,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2025,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2025,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2025,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2025,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2025,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp_f,2020,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pp_f,2020,contract_universe,not_applicable,,not_applicable,not_applicable,
pp_f,2020,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pp_f,2020,trading_parameters,not_applicable,,not_applicable,not_applicable,
pp_f,2020,trading_calendar,not_applicable,,not_applicable,not_applicable,
pp_f,2020,trading_sessions,not_applicable,,not_applicable,not_applicable,
pp_f,2021,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pp_f,2021,contract_universe,not_applicable,,not_applicable,not_applicable,
pp_f,2021,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pp_f,2021,trading_parameters,not_applicable,,not_applicable,not_applicable,
pp_f,2021,trading_calendar,not_applicable,,not_applicable,not_applicable,
pp_f,2021,trading_sessions,not_applicable,,not_applicable,not_applicable,
pp_f,2022,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pp_f,2022,contract_universe,not_applicable,,not_applicable,not_applicable,
pp_f,2022,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pp_f,2022,trading_parameters,not_applicable,,not_applicable,not_applicable,
pp_f,2022,trading_calendar,not_applicable,,not_applicable,not_applicable,
pp_f,2022,trading_sessions,not_applicable,,not_applicable,not_applicable,
pp_f,2023,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pp_f,2023,contract_universe,not_applicable,,not_applicable,not_applicable,
pp_f,2023,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pp_f,2023,trading_parameters,not_applicable,,not_applicable,not_applicable,
pp_f,2023,trading_calendar,not_applicable,,not_applicable,not_applicable,
pp_f,2023,trading_sessions,not_applicable,,not_applicable,not_applicable,
pp_f,2024,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pp_f,2024,contract_universe,not_applicable,,not_applicable,not_applicable,
pp_f,2024,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pp_f,2024,trading_parameters,not_applicable,,not_applicable,not_applicable,
pp_f,2024,trading_calendar,not_applicable,,not_applicable,not_applicable,
pp_f,2024,trading_sessions,not_applicable,,not_applicable,not_applicable,
pp_f,2025,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp_f,2025,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp_f,2025,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp_f,2025,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp_f,2025,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp_f,2025,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,main_contract_map_rank1,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,contract_universe,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,continuous_contract_map,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,trading_parameters,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,trading_calendar,covered_passed,,covered_passed,confirmed_passed,
pp_f,2026,trading_sessions,covered_passed,,covered_passed,confirmed_passed,
pr,2020,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pr,2020,contract_universe,not_applicable,,not_applicable,not_applicable,
pr,2020,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pr,2020,trading_parameters,not_applicable,,not_applicable,not_applicable,
pr,2020,trading_calendar,not_applicable,,not_applicable,not_applicable,
pr,2020,trading_sessions,not_applicable,,not_applicable,not_applicable,
pr,2021,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pr,2021,contract_universe,not_applicable,,not_applicable,not_applicable,
pr,2021,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pr,2021,trading_parameters,not_applicable,,not_applicable,not_applicable,
pr,2021,trading_calendar,not_applicable,,not_applicable,not_applicable,
pr,2021,trading_sessions,not_applicable,,not_applicable,not_applicable,
pr,2022,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pr,2022,contract_universe,not_applicable,,not_applicable,not_applicable,
pr,2022,continuous_contract_map,not_applicable,,not_applicable,not_applicable,
pr,2022,trading_parameters,not_applicable,,not_applicable,not_applicable,
pr,2022,trading_calendar,not_applicable,,not_applicable,not_applicable,
pr,2022,trading_sessions,not_applicable,,not_applicable,not_applicable,
pr,2023,main_contract_map_rank1,not_applicable,,not_applicable,not_applicable,
pr,2023,contract_universe,not_applicable,,not_applicable,not_applicable,
